date,steps,daily_movement,cal_total,high,low,medium,rest,duration,awake,efficiency
2021-05-12,8196,6.751,2563,0,401,18,457,508.0,168.0,67
2021-05-13,10599,8.738,2602,0,347,36,420,289.0,31.0,89
2021-05-14,6870,5.904,2483,1,287,24,473,539.0,55.5,90
2021-05-15,11896,12.836,2845,4,346,83,507,442.0,58.0,87
2021-05-16,12825,12.492,2758,3,394,52,614,552.0,153.5,72
2021-05-17,9465,9.23,2648,1,345,50,444,238.0,24.5,90
2021-05-18,12233,11.296,2725,4,331,71,583,622.0,111.0,82
2021-05-21,6401,5.421,2431,1,253,28,559,575.0,41.0,93
2021-05-22,16194,15.885,2909,3,347,91,356,301.0,58.5,81
2021-05-23,12603,11.958,2834,0,387,70,423,437.0,68.5,84
2021-05-24,11382,10.872,2709,2,394,41,525,540.0,69.0,87
2021-05-25,12728,11.716,2752,1,426,43,469,360.0,70.0,81
2021-05-26,11125,10.377,2696,1,400,31,507,573.0,145.0,75
2021-05-27,12774,11.871,2772,1,314,81,551,583.0,59.5,90
2021-05-28,12965,13.147,2766,1,359,68,568,621.0,89.5,86
2021-05-29,14831,14.575,2894,4,427,66,520,544.0,112.0,79
2021-05-30,11819,11.369,2680,1,409,41,579,544.0,46.0,92
2021-05-31,9682,9.388,2635,2,296,48,450,482.0,82.0,83
2021-06-01,11017,8.835,2662,1,337,47,395,408.0,80.0,80
2021-06-02,7643,7.715,2418,0,232,22,508,586.0,69.5,88
2021-06-03,13213,13.836,2905,6,430,65,407,422.0,95.5,77
2021-06-06,10522,10.509,2678,1,351,51,556,456.0,42.0,91
2021-06-07,8912,8.191,2562,2,330,32,541,541.0,34.5,94
2021-06-08,10503,9.757,2652,1,411,32,553,546.0,90.0,84
2021-06-09,13297,12.205,2893,1,379,77,353,382.0,47.5,88
2021-06-10,6174,5.357,2172,0,235,16,315,568.0,133.0,77
2021-06-11,15460,14.443,2707,1,422,90,363,429.0,54.5,87
2021-06-12,13615,12.4,2541,1,395,69,636,521.0,55.5,89
2021-06-13,14154,12.636,2614,3,399,66,508,524.0,61.5,88
2021-06-14,8076,7.533,2299,1,251,39,510,461.0,78.0,83
2021-06-15,9943,8.64,2398,0,338,35,413,503.0,37.5,93
2021-06-16,12764,9.655,2499,0,440,34,469,554.0,89.0,84
2021-06-17,7493,6.241,2209,0,280,28,562,543.0,71.5,87
2021-06-18,9750,7.828,2421,0,313,46,443,582.0,101.0,83
2021-06-19,16227,13.863,2697,0,444,84,405,416.0,48.0,88
2021-06-20,14343,14.423,2627,3,365,86,589,570.0,71.5,87
2021-06-21,9661,8.688,2389,2,295,51,636,594.0,77.0,87
2021-06-22,9583,7.941,2424,0,336,41,401,460.0,40.0,91
2021-06-23,7633,6.714,2224,0,229,37,506,550.0,76.5,86
2021-06-24,11176,10.312,2441,2,304,57,490,483.0,53.5,89
2021-06-25,13395,12.508,2611,1,494,55,534,518.0,87.5,83
2021-06-26,15119,13.298,2635,4,469,65,553,602.0,86.5,86
2021-06-27,15570,14.823,2739,5,399,108,442,395.0,46.0,88
2021-06-30,7535,6.178,2258,1,292,25,563,454.0,46.5,90
2021-07-01,10402,8.127,2494,1,439,37,416,568.0,173.0,70
2021-07-02,12631,11.688,2567,2,412,66,475,298.0,23.0,92
2021-07-03,15540,12.7,2725,2,509,62,382,400.0,25.0,94
2021-07-04,13849,12.506,2626,2,372,96,453,433.0,54.5,87
2021-07-05,12155,9.424,2521,0,466,44,464,584.0,112.5,81
2021-07-06,1587,1.305,1880,0,49,5,439,446.0,80.0,82
2021-07-07,10743,8.87,2442,1,308,63,568,635.0,167.0,74
2021-07-08,11200,9.383,2489,3,379,50,524,525.0,38.0,93
2021-07-09,8534,7.336,2360,1,330,29,539,549.0,35.0,94
2021-07-10,12773,10.988,2538,0,408,58,498,485.0,26.5,95
2021-07-11,15735,15.141,2689,0,481,68,564,508.0,35.0,93
2021-07-12,6851,5.137,2269,0,287,16,431,570.0,162.0,72
2021-07-13,11395,9.637,2530,1,399,59,526,569.0,46.0,92
2021-07-14,11052,10.316,2520,2,341,64,513,545.0,48.5,91
2021-07-15,10055,8.417,2428,1,380,33,534,558.0,74.0,87
2021-07-16,8141,6.519,2321,0,384,14,502,571.0,48.0,92
2021-07-17,15842,15.592,2675,2,394,95,540,550.0,113.0,79
2021-07-18,11289,9.842,2467,0,351,49,429,457.0,33.5,93
2021-07-19,6295,4.802,2213,0,286,15,588,371.0,40.0,89
2021-07-20,9349,7.119,2391,0,395,17,407,521.0,32.0,94
2021-07-21,10857,9.606,2481,0,398,37,496,524.0,99.5,81
2021-07-22,3241,2.542,2035,0,172,7,506,446.0,34.5,92
2021-07-23,10169,8.444,2439,1,367,42,464,581.0,130.5,78
2021-07-24,11684,9.549,2478,1,397,52,489,507.0,90.0,82
2021-07-25,9286,8.216,2405,0,320,51,449,409.0,47.0,89
2021-07-26,15262,14.567,2715,17,377,93,588,463.0,29.0,94
2021-07-29,18070,17.267,2820,3,495,93,550,591.0,94.5,84
2021-07-30,12543,12.195,2554,2,438,55,583,587.0,60.0,90
2021-07-31,12238,10.999,2482,1,410,35,591,555.0,46.0,92
2021-08-01,10374,9.336,2398,3,316,50,569,476.0,86.5,82
2021-08-02,7946,7.005,2327,6,268,40,471,588.0,111.0,81
2021-08-03,12498,12.045,2562,3,401,71,592,509.0,38.5,92
2021-08-04,13853,10.964,2586,0,525,55,573,613.0,63.0,90
2021-08-05,13740,12.018,2621,3,501,60,493,353.0,39.5,89
2021-08-06,13692,12.406,2637,6,448,67,504,539.0,37.5,93
2021-08-07,14840,14.941,2664,8,326,102,551,253.0,32.5,87
2021-08-08,10700,9.662,2409,0,358,40,561,333.0,56.5,83
2021-08-09,15608,13.779,2639,1,398,80,463,529.0,54.0,90
2021-08-10,9414,8.799,2400,3,315,48,539,510.0,44.0,91
2021-08-11,12403,10.851,2559,2,485,41,469,662.0,190.5,71
2021-08-12,11694,10.014,2499,1,419,51,563,532.0,47.0,91
2021-08-13,12698,10.678,2526,1,414,66,558,555.0,52.5,91
2021-08-14,7186,5.885,2254,1,295,26,682,466.0,60.5,87
2021-08-15,11086,10.567,2499,5,343,57,525,523.0,69.0,87
2021-08-16,6483,5.301,2218,0,292,11,473,533.0,119.5,78
2021-08-17,10744,9.402,2451,0,386,42,465,450.0,71.5,84
2021-08-18,10128,9.281,2452,4,344,57,459,572.0,199.0,65
2021-08-19,8273,7.246,2311,1,297,34,594,589.0,99.5,83
2021-08-20,7537,6.669,2258,0,267,45,676,466.0,39.5,92
2021-08-21,6374,5.468,2218,0,256,21,293,369.0,49.0,87
2021-08-22,9243,8.117,2371,0,322,39,579,490.0,33.5,93
2021-08-23,13738,12.817,2643,5,408,77,474,370.0,42.5,89
2021-08-24,9513,8.244,2420,1,304,46,437,461.0,62.5,86
2021-08-25,7688,7.056,2279,3,281,35,609,619.0,91.5,85
2021-08-26,4741,4.13,2087,0,171,22,461,540.0,32.5,94
2021-08-27,12186,10.961,2448,0,347,49,550,653.0,152.5,77
2021-08-28,14009,12.607,2586,0,397,67,482,475.0,51.5,89
2021-08-29,9329,8.271,2392,3,318,46,467,464.0,54.0,88
2021-08-30,12390,11.127,2485,0,389,51,586,569.0,50.5,91
2021-09-04,11360,9.818,2076,0,398,40,603,644.0,79.5,88
2021-09-05,6474,5.978,1893,0,237,33,499,626.0,183.0,71
2021-09-06,7978,7.291,1904,0,264,33,696,550.0,97.5,82
2021-09-07,10171,8.72,2029,0,368,41,556,554.0,65.0,88
2021-09-08,8100,7.024,1981,0,305,36,456,502.0,205.5,59
2021-09-09,6262,5.622,1880,0,251,20,508,501.0,47.5,91
2021-09-10,9438,8.491,2332,0,292,42,512,463.0,36.0,92
2021-09-11,11706,10.478,2469,0,370,56,577,555.0,50.5,91
2021-09-12,14398,14.419,2680,4,369,90,479,467.0,138.5,70
2021-09-13,9979,9.041,2413,0,348,39,426,510.0,64.5,87
2021-09-14,11879,11.809,2524,0,360,69,512,509.0,46.5,91
2021-09-15,9129,8.529,2353,0,346,32,496,550.0,71.5,87
2021-09-16,12237,11.4,2522,1,371,64,522,414.0,96.5,77
2021-09-17,11070,9.629,2455,0,400,37,435,580.0,40.0,93
2021-09-18,10537,9.686,2460,0,372,45,524,568.0,110.0,81
2021-09-19,7589,6.773,2255,0,311,17,555,448.0,42.0,91
2021-09-20,6229,5.52,2212,0,222,26,580,447.0,84.5,81
2021-09-21,7281,5.855,2306,0,311,26,428,537.0,75.5,86
2021-09-22,8547,8.167,2264,1,204,55,518,548.0,92.0,83
2021-09-23,12841,12.107,2565,2,409,59,494,441.0,112.0,75
2021-09-24,11236,9.798,2463,0,401,42,561,679.0,139.5,79
2021-09-25,6709,5.166,2191,0,292,12,636,743.0,325.0,56
2021-09-26,8468,8.269,2374,0,340,30,489,556.0,30.0,95
2021-09-27,10345,9.62,2447,0,335,55,510,493.0,60.0,88
2021-09-28,7915,6.0,2297,0,305,25,525,432.0,38.5,91
2021-09-29,5463,4.411,2155,0,248,15,550,497.0,70.5,86
2021-09-30,12147,9.888,2508,3,378,51,496,423.0,37.0,91
2021-10-01,7662,5.839,2333,1,376,19,436,456.0,89.0,80
2021-10-02,12471,10.814,2570,3,410,72,439,561.0,74.0,87
2021-10-03,11753,10.646,2473,1,319,65,483,434.0,34.5,92
2021-10-04,12419,10.936,2544,2,440,41,469,375.0,42.0,89
2021-10-05,4720,4.295,2088,0,208,13,478,534.0,31.5,94
2021-10-06,13127,11.908,2576,1,425,54,467,420.0,41.0,90
2021-10-07,9733,7.924,2358,1,391,33,537,577.0,156.5,73
2021-10-08,9366,7.334,2328,0,353,28,556,457.0,110.5,76
2021-10-09,10156,9.371,2441,1,344,52,521,488.0,119.0,76
2021-10-10,4187,3.03,2065,0,214,5,536,420.0,79.0,81
2021-10-11,5485,4.342,2122,0,261,9,570,842.0,292.0,65
2021-10-12,6058,4.783,2106,0,296,6,702,494.0,94.5,81
2021-10-13,4922,4.277,2084,2,164,22,608,695.0,148.0,79
2021-10-14,5636,4.798,2160,1,241,12,506,420.0,31.5,93
2021-10-15,4664,3.565,2136,0,246,8,467,544.0,44.0,92
2021-10-16,13535,11.52,2481,0,339,71,644,672.0,86.5,87
2021-10-17,4685,3.34,2044,0,208,7,751,493.0,16.5,97
2021-10-18,6651,5.036,2213,0,334,15,595,579.0,84.5,85
2021-10-19,2148,1.095,1911,0,127,1,751,631.0,180.0,71
2021-10-20,4458,2.847,2074,0,247,5,716,602.0,95.0,84
2021-10-21,4178,3.081,2082,0,185,11,549,441.0,184.0,58
2021-10-22,5343,4.181,2201,0,254,9,389,563.0,163.5,71
2021-10-23,7078,8.148,2346,0,271,51,610,578.0,32.5,94
2021-10-24,6464,5.466,2214,0,273,24,629,510.0,103.0,80
2021-10-25,6709,7.669,2326,1,226,52,470,528.0,82.5,84
2021-04-16,6837,6.317,2328,0,201,27,450,499.0,26.5,95
2021-04-17,18196,17.817,3045,1,495,74,432,420.0,36.5,91
2021-04-18,12463,11.985,2712,14,294,53,602,629.0,38.0,94
2021-04-19,17234,18.298,3065,3,357,115,602,425.0,22.5,95
2021-04-20,7064,6.595,2354,0,216,28,500,476.0,26.5,94
2021-04-21,5303,4.718,2253,1,207,15,551,557.0,26.0,95
2021-04-22,6482,9.802,2540,0,158,72,453,487.0,27.0,94
2021-04-23,16411,15.862,2942,0,334,97,512,419.0,33.5,92
2021-04-24,16337,15.554,2947,0,359,91,521,394.0,56.0,86
2021-04-25,5293,4.625,2282,1,182,25,466,460.0,17.5,96
2021-04-26,11120,13.524,2853,45,347,22,564,549.0,17.5,97
2021-04-27,17980,20.076,3187,10,346,120,566,503.0,33.0,93
2021-04-28,16827,20.02,3189,67,345,54,571,590.0,44.0,93
2021-04-29,13610,13.773,2791,4,374,61,600,635.0,117.5,81
2021-04-30,15556,14.609,2924,3,487,53,375,443.0,26.5,94
2021-05-01,6290,5.304,2286,0,208,26,594,534.0,28.5,95
2021-05-02,11763,12.827,2766,1,191,94,530,502.0,41.0,92
2021-05-03,12365,11.067,2658,1,424,28,551,392.0,24.0,94
2021-05-04,8521,7.611,2466,1,220,51,461,459.0,20.5,96
2021-05-05,8010,12.207,2709,61,158,20,484,469.0,24.0,95
2021-05-06,6511,5.999,2343,0,246,24,483,469.0,32.5,93
2021-05-07,13007,13.513,2828,2,440,62,526,563.0,44.0,92
2021-05-08,12164,10.993,2678,7,253,59,572,484.0,21.0,96
2021-05-09,11868,10.841,2658,0,350,38,483,491.0,29.0,94
2021-05-10,14211,12.859,2747,1,467,37,612,570.0,39.0,93
2021-05-11,15939,15.058,2823,10,254,85,521,444.0,47.0,89
2021-05-12,13892,13.658,2813,4,273,76,520,545.0,62.5,89
2021-05-13,8843,7.91,2522,1,350,20,544,527.0,51.5,90
2021-05-14,10619,9.096,2564,0,368,23,462,516.0,26.5,95
2021-05-15,7559,6.928,2424,0,318,15,584,524.0,52.0,90
2021-05-16,17712,18.193,3060,2,426,111,560,544.0,36.0,93
2021-05-17,9961,11.126,2642,31,237,30,530,584.0,81.5,86
2021-05-18,16366,17.706,2981,1,172,143,529,513.0,34.5,93
2021-05-19,6114,4.99,2354,0,305,6,569,509.0,37.5,93
2021-05-20,12939,16.82,3031,60,364,31,570,504.0,19.0,96
2021-05-21,16240,15.214,2851,0,336,84,691,410.0,25.5,94
2021-05-22,6059,5.542,2328,0,243,21,440,421.0,26.5,94
2021-05-23,5469,5.278,2284,0,213,25,539,522.0,19.0,96
2021-05-24,3721,2.982,2172,0,149,13,424,612.0,58.0,91
